Circuit,Initial time,Schedule time,Transfer time,Simulation time,Power consumption,Energy consumption,Tableau partitions,Tableau memory,Tableau step speed,Circuit memory,Average of parallel gates,Clifford gates
Circuit,Initial time,Schedule time,Transfer time,Simulation time,Power consumption,Energy consumption,Tableau partitions,Tableau memory,Tableau step speed,Circuit memory,Average of parallel gates,Clifford gates
Circuit,Initial time,Schedule time,Transfer time,Simulation time,Power consumption,Energy consumption,Tableau partitions,Tableau memory,Tableau step speed,Circuit memory,Average of parallel gates,Clifford gates
q215000,0.03,768.37,0.00,36.85,51.48,1.90,1.00,10.77,292.26,2.06,0.00,163148.00
q216000,0.03,771.37,0.00,29.29,52.02,1.52,1.00,10.86,370.82,2.08,0.00,163912.00
q217000,0.06,767.80,0.00,29.50,51.75,1.53,1.00,10.97,371.68,2.08,0.00,164668.00
q218000,0.03,794.02,0.00,29.75,51.29,1.53,1.00,11.07,372.04,2.09,0.00,165421.00
q219000,0.02,782.45,0.00,29.75,51.85,1.54,1.00,11.17,375.38,2.10,0.00,166163.00
q220000,0.06,789.51,0.00,29.94,51.05,1.53,1.00,11.27,376.49,2.11,0.00,166921.00
q221000,0.03,816.66,0.00,30.23,50.57,1.53,1.00,11.38,376.41,2.12,0.00,167666.00
q222000,0.03,816.05,0.00,30.79,52.02,1.60,1.00,11.48,372.74,2.13,0.00,168438.00
q223000,0.02,829.34,0.00,31.08,52.05,1.62,1.00,11.58,372.70,2.14,0.00,169209.00
q224000,0.03,808.46,0.00,31.08,50.53,1.57,1.00,11.68,375.92,2.15,0.00,169971.00
q225000,0.03,818.09,0.00,31.40,51.49,1.62,1.00,11.79,375.43,2.16,0.00,170748.00
q226000,0.03,845.80,0.00,31.56,50.30,1.59,1.00,11.90,376.98,2.17,0.00,171506.00
q227000,0.03,863.73,0.00,32.01,50.00,1.60,1.00,12.00,374.82,2.18,0.00,172288.00
q228000,0.02,871.45,0.00,32.26,51.13,1.65,1.00,12.11,375.28,2.19,0.00,173026.00
q229000,0.03,847.48,0.00,32.56,50.05,1.63,1.00,12.22,375.15,2.20,0.00,173808.00
q230000,0.03,852.86,0.00,32.79,50.86,1.67,1.00,12.32,375.67,2.21,0.00,174565.00
q231000,0.03,861.21,0.00,33.10,49.97,1.65,1.00,12.43,375.43,2.22,0.00,175332.00
q232000,0.02,868.27,0.00,33.56,51.42,1.73,1.00,12.53,373.36,2.23,0.00,176099.00
q233000,0.08,876.37,0.00,33.73,49.35,1.66,1.00,12.64,374.77,2.24,0.00,176856.00
q234000,0.03,886.50,0.00,33.99,51.24,1.74,1.00,12.75,375.23,2.25,0.00,177607.00
q235000,0.06,908.24,0.00,33.19,48.70,1.62,1.00,12.86,387.42,2.26,0.00,178330.00
q236000,0.03,938.18,0.00,33.36,50.38,1.68,1.00,12.97,388.79,2.27,0.00,179104.00
q237000,0.03,942.84,0.00,33.65,49.22,1.66,1.00,13.08,388.86,2.28,0.00,179880.00
q238000,0.05,949.94,0.00,35.04,50.73,1.78,1.00,13.19,376.40,2.29,0.00,180694.00
q239000,0.06,950.56,0.00,35.45,50.30,1.78,1.00,13.30,375.31,2.30,0.00,181441.00
q240000,0.03,949.29,0.00,35.39,48.91,1.73,1.00,13.41,378.97,2.31,0.00,182169.00
q241000,0.03,959.36,0.00,35.72,48.77,1.74,1.00,13.53,378.71,2.31,0.00,182920.00
q242000,0.05,969.16,0.00,36.01,48.41,1.74,1.00,13.64,378.78,2.32,0.00,183633.00
q243000,0.03,994.29,0.00,36.40,48.57,1.77,1.00,13.75,377.76,2.33,0.00,184355.00
q244000,0.05,1014.29,0.00,36.68,49.96,1.83,1.00,13.87,377.98,2.34,0.00,185118.00
q245000,0.03,1007.88,0.00,37.00,52.29,1.94,1.00,13.98,377.90,2.35,0.00,185870.00
q246000,0.06,988.37,0.00,37.32,49.71,1.86,1.00,14.09,377.59,2.36,0.00,186620.00
q247000,0.03,997.02,0.00,37.65,48.23,1.82,1.00,14.21,377.41,2.37,0.00,187383.00
